,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9472140762463344,0.8888888888888888,0.9354838709677419,0.9389671361502347,0.9238622787009884,0.937022810262247
recall,0.99079754601227,0.7058823529411765,0.90625,0.9389671361502347,0.8676432996511488,0.9389671361502347
f1-score,0.9685157421289355,0.7868852459016393,0.9206349206349206,0.9389671361502347,0.8920119695551652,0.9359263993325397
support,326.0,68.0,32.0,0.9389671361502347,426.0,426.0
